step,time,KE,PE,E_total,E_per_atom
10,0.05,95.46152230378745,-712.3656898960609,-616.9041675922734,-5.712075625854384
20,0.1,47.18943115657331,-664.0182906427111,-616.8288594861378,-5.711378328575351
30,0.15,46.562507877040986,-663.4408667673582,-616.8783588903173,-5.711836656391826
40,0.2,51.48425337131501,-668.3563242898548,-616.8720709185397,-5.711778434430924
50,0.25,55.18932148422804,-672.0554858200492,-616.8661643358212,-5.711723743850196
60,0.3,61.54708543308604,-678.4178339560231,-616.870748522937,-5.711766190027195
70,0.35000000000000003,63.45453101145481,-680.3201019253088,-616.865570913854,-5.7117182492023515
80,0.4,58.62379000628691,-675.4903810749221,-616.8665910686352,-5.711727695079956
90,0.45,55.59552892338268,-672.4554309736591,-616.8599020502764,-5.711665759724782
100,0.5,115.881,-677.5902794675962,-561.7092794675963,-5.201011846922188
110,0.55,102.27420660568679,-663.963464922413,-561.6892583167262,-5.200826465895613
120,0.6,85.63264373507957,-647.3111664248369,-561.6785226897573,-5.200727061942197
130,0.65,92.4199215966316,-654.1200708272339,-561.7001492306023,-5.200927307690762
140,0.7000000000000001,93.81101052613407,-655.5036813262215,-561.6926708000874,-5.200858062963772
150,0.75,90.65978670764734,-652.3574560701321,-561.6976693624848,-5.200904345948934
160,0.8,87.50819992531622,-649.1810398318848,-561.6728399065686,-5.200674443579339
170,0.85,90.3194027711214,-652.0166227314882,-561.6972199603667,-5.20090018481821
180,0.9,88.25620056456437,-649.9509793451056,-561.6947787805412,-5.200877581301308
190,0.9500000000000001,95.98507166261678,-657.683005573661,-561.6979339110443,-5.2009067954726325
200,1.0,115.88100000000004,-660.607645773301,-544.7266457733009,-5.043765238641675
210,1.05,114.27607937538217,-658.9956918330478,-544.7196124576656,-5.043700115348755
220,1.1,111.58227377837937,-656.305525233431,-544.7232514550517,-5.043733809768997
230,1.1500000000000001,106.60438803400584,-651.3267111899748,-544.722323155969,-5.04372521440712
240,1.2,106.68762591057002,-651.4120743468704,-544.7244484363005,-5.043744892928708
250,1.25,102.50311098337974,-647.2138257590651,-544.7107147756853,-5.043617729404494
260,1.3,103.11333763336437,-647.8546918437941,-544.7413542104297,-5.043901427874349
270,1.35,98.565096802047,-643.2901908648267,-544.7250940627797,-5.043750870951664
280,1.4000000000000001,103.42305254539096,-648.1437201416093,-544.7206675962183,-5.043709885150169
290,1.45,100.76530245719462,-645.4867005934083,-544.7213981362137,-5.043716649409386
300,1.5,115.88099999999996,-639.3112169753089,-523.4302169753089,-4.846576083104712
310,1.55,107.73003079137008,-631.1195999012576,-523.3895691098876,-4.8461997139804405
320,1.6,110.00232541483226,-633.4089426043015,-523.4066171894692,-4.84635756656916
330,1.6500000000000001,115.43083675025045,-638.8480393421413,-523.4172025918908,-4.8464555795545445
340,1.7,117.09500030695786,-640.5398503557943,-523.4448500488364,-4.846711574526263
350,1.75,105.37527608422177,-628.7955466457125,-523.4202705614907,-4.84648398668047
360,1.8,108.22998812973911,-631.6425594184551,-523.412571288716,-4.84641269711774
370,1.85,115.7734895069053,-639.1779229442644,-523.4044334373591,-4.846337346642214
380,1.9000000000000001,127.25014685684671,-650.7048155363412,-523.4546686794945,-4.846802487773097
390,1.95,124.95251697984139,-648.3811300146457,-523.4286130348044,-4.846561231803744
400,2.0,115.88100000000011,-644.4026029023861,-528.521602902386,-4.893718545392463
410,2.05,110.30739831420215,-638.8421639639552,-528.534765649753,-4.893840422682898
420,2.1,106.4802985299036,-635.0189350356901,-528.5386365057865,-4.8938762639424676
430,2.15,110.83428751024,-639.3553357984993,-528.5210482882593,-4.893713410076475
440,2.2,122.87072396465962,-651.4266576979235,-528.5559337332638,-4.894036423456146
450,2.25,103.88501142442071,-632.3923319144932,-528.5073204900725,-4.893586300834005
460,2.3000000000000003,109.38512017505927,-637.9210644999333,-528.5359443248741,-4.893851336341426
470,2.35,106.73041134746569,-635.2637181842814,-528.5333068368157,-4.8938269151557
480,2.4,103.80647312522912,-632.3324528185841,-528.525979693355,-4.8937590712347685
490,2.45,113.020021284618,-641.5385501510544,-528.5185288664364,-4.893690082096634
500,2.5,115.88100000000003,-650.1055191083443,-534.2245191083443,-4.946523325077262
510,2.5500000000000003,102.65478387230146,-636.8442983272232,-534.1895144549218,-4.946199207915942
520,2.6,103.52893342845448,-637.7258792048195,-534.196945776365,-4.946268016447824
530,2.65,109.5602340341994,-643.7768780859423,-534.2166440517428,-4.946450407886508
540,2.7,96.18775023486727,-630.3632898418534,-534.1755396069861,-4.946069811175797
550,2.75,107.20631737552492,-641.4328181330037,-534.2265007574788,-4.946541673680359
560,2.8000000000000003,106.74005432857304,-640.9327762817524,-534.1927219531793,-4.946228906973882
570,2.85,107.3665504210311,-641.5836798627508,-534.2171294417197,-4.946454902238146
580,2.9,102.08717398310841,-636.2603666669916,-534.1731926838831,-4.946048080406325
590,2.95,112.01369262384804,-646.2379097596223,-534.2242171357743,-4.946520529034948
600,3.0,115.88100000000003,-640.113185272967,-524.232185272967,-4.854001715490434
610,3.0500000000000003,117.697105001369,-641.9282241415917,-524.2311191402227,-4.8539918438909515
620,3.1,118.59235031694064,-642.8379755370989,-524.2456252201583,-4.854126159445911
630,3.15,117.31148179917257,-641.5469895441394,-524.2355077449668,-4.854032479120063
640,3.2,112.24714207703319,-636.4650575183383,-524.2179154413051,-4.853869587419491
650,3.25,112.88972379174562,-637.1253336413364,-524.2356098495908,-4.854033424533248
660,3.3000000000000003,118.45399197904683,-642.6909434051723,-524.2369514261255,-4.8540458465382
670,3.35,121.52722099877202,-645.8008509999487,-524.2736300011767,-4.854385462973858
680,3.4,110.12070670551908,-634.3580222135724,-524.2373155080534,-4.854049217667161
690,3.45,118.15660229615169,-642.397551045262,-524.2409487491103,-4.8540828587880585
700,3.5,115.88100000000003,-643.9267680740526,-528.0457680740526,-4.889312667352339
710,3.5500000000000003,123.48890899104255,-651.5522870720699,-528.0633780810274,-4.889475722972476
720,3.6,120.25538651697134,-648.3007966722737,-528.0454101553023,-4.889309353289836
730,3.65,113.13896739662776,-641.1967067903099,-528.0577393936821,-4.8894235129044645
740,3.7,109.70413628187784,-637.7544555077376,-528.0503192258598,-4.88935480764685
750,3.75,112.3119465631513,-640.3532184642492,-528.0412719010978,-4.889271036121277
760,3.8000000000000003,109.33904242449151,-637.366283528607,-528.0272411041155,-4.889141121334403
770,3.85,120.07822525884903,-648.1329716228025,-528.0547463639535,-4.889395799666237
780,3.9,116.7325619308875,-644.7806890448884,-528.0481271140009,-4.889334510314823
790,3.95,107.05231832699546,-635.0949511389999,-528.0426328120045,-4.88928363714819
800,4.0,115.88100000000006,-637.216114867297,-521.335114867297,-4.827176989512009
810,4.05,118.99074876357345,-640.3297426044616,-521.3389938408881,-4.827212905934148
820,4.1,120.35743194922952,-641.7068086772862,-521.3493767280567,-4.827309043778302
830,4.15,122.37183924456956,-643.6973580184178,-521.3255187738483,-4.827088136794892
840,4.2,119.25315490277305,-640.5924803731622,-521.3393254703891,-4.827215976577677
850,4.25,115.01147868536634,-636.3545103839577,-521.3430316985914,-4.827250293505476
860,4.3,108.47596656180949,-629.8075573265066,-521.3315907646971,-4.82714435893238
870,4.3500000000000005,116.7794191887016,-638.1399694394526,-521.360550250751,-4.827412502321768
880,4.4,120.31470057122883,-641.66531926566,-521.3506186944311,-4.827320543466954
890,4.45,116.22693764474975,-637.5562162665261,-521.3292786217763,-4.827122950201633
900,4.5,115.8809999999999,-638.9858535451199,-523.10485354512,-4.843563458751111
910,4.55,109.3924342244227,-632.4638258017785,-523.0713915773558,-4.843253625716257
920,4.6000000000000005,121.8432541213198,-644.945726651861,-523.1024725305413,-4.843541412319826
930,4.65,118.27412235517714,-641.3741238389541,-523.100001483777,-4.843518532257194
940,4.7,112.2643466161575,-635.3457852751189,-523.0814386589615,-4.843346654249643
950,4.75,110.61379657621826,-633.7024057572772,-523.0886091810589,-4.843413047972768
960,4.8,106.37146256199001,-629.458121909305,-523.0866593473149,-4.84339499395662
970,4.8500000000000005,114.46898905895567,-637.5645021425947,-523.095513083639,-4.843476972996658
980,4.9,116.78972712163551,-639.8824499905409,-523.0927228689054,-4.84345113767505
990,4.95,112.77242374688542,-635.8384877838906,-523.0660640370052,-4.843204296638937
1000,5.0,115.881,-646.7616090112963,-530.8806090112963,-4.91556119454904
1010,5.05,114.66933915102994,-645.536031462895,-530.8666923118651,-4.915432336220973
1020,5.1000000000000005,113.02350381726436,-643.8963925465556,-530.8728887292913,-4.9154897104564
1030,5.15,109.03507059804407,-639.9338249127952,-530.8987543147512,-4.9157292066180664
1040,5.2,108.54512280279945,-639.4237810810724,-530.878658278273,-4.915543132206231
1050,5.25,116.40143869650736,-647.2925905840743,-530.8911518875669,-4.915658813773768
1060,5.3,110.02911766801353,-640.8947911609336,-530.86567349292,-4.915422902712222
1070,5.3500000000000005,114.74601512446473,-645.6356592649199,-530.8896441404552,-4.915644853152362
1080,5.4,107.95666630359557,-638.8383903135749,-530.8817240099793,-4.9155715186109195
1090,5.45,107.64327867024689,-638.540239477696,-530.8969608074491,-4.915712600068973
1100,5.5,115.88099999999999,-635.8076766510928,-519.9266766510929,-4.814135894917526
1110,5.55,118.35529715497687,-638.2846751121541,-519.9293779571773,-4.8141609070109
1120,5.6000000000000005,127.24089712168714,-647.1887559915696,-519.9478588698825,-4.814332026572986
1130,5.65,118.39513170592724,-638.30987022181,-519.9147385158827,-4.814025356628544
1140,5.7,110.96525594554106,-630.891888313151,-519.92663236761,-4.814135484885277
1150,5.75,113.3849690384463,-633.3304859831796,-519.9455169447333,-4.814310342080864
1160,5.8,108.83798470607074,-628.7556641155887,-519.917679409518,-4.8140525871251665
1170,5.8500000000000005,114.19047924996538,-634.116373691627,-519.9258944416616,-4.814128652237607
1180,5.9,121.98850160592127,-641.9580142724636,-519.9695126665424,-4.8145325246902075
1190,5.95,109.59162046970422,-629.5057866412775,-519.9141661715732,-4.814020057144197
