t,MSD
0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,9.872632181393453665e-02
1.000000000000000000e+00,1.676421760932206573e-01
1.500000000000000000e+00,2.293517959967375786e-01
2.000000000000000000e+00,2.905988865685940059e-01
2.500000000000000000e+00,3.546478206003323419e-01
3.000000000000000000e+00,4.195968863060248744e-01
3.500000000000000000e+00,4.837765650978967380e-01
4.000000000000000000e+00,5.483027535808723263e-01
4.500000000000000000e+00,6.129375368876394115e-01
5.000000000000000000e+00,6.784689227675280154e-01
5.500000000000000000e+00,7.457323738980699002e-01
6.000000000000000000e+00,8.137264163529073224e-01
6.500000000000000000e+00,8.823062473444153175e-01
7.000000000000000000e+00,9.507334725470267811e-01
7.500000000000000000e+00,1.018315470679590717e+00
8.000000000000000000e+00,1.087077200150030620e+00
8.500000000000000000e+00,1.155473459625160793e+00
9.000000000000000000e+00,1.223896278211564326e+00
9.500000000000000000e+00,1.291843378770576090e+00
1.000000000000000000e+01,1.358173490962305108e+00
