r,g
6.298485717684401859e-03,0.000000000000000000e+00
1.889545715305320644e-02,0.000000000000000000e+00
3.149242858842200843e-02,0.000000000000000000e+00
4.408940002379081735e-02,0.000000000000000000e+00
5.668637145915961933e-02,0.000000000000000000e+00
6.928334289452842132e-02,0.000000000000000000e+00
8.188031432989723024e-02,0.000000000000000000e+00
9.447728576526602529e-02,0.000000000000000000e+00
1.070742572006348342e-01,0.000000000000000000e+00
1.196712286360036431e-01,0.000000000000000000e+00
1.322682000713724382e-01,0.000000000000000000e+00
1.448651715067412471e-01,0.000000000000000000e+00
1.574621429421100560e-01,0.000000000000000000e+00
1.700591143774788649e-01,0.000000000000000000e+00
1.826560858128476461e-01,0.000000000000000000e+00
1.952530572482164550e-01,0.000000000000000000e+00
2.078500286835852640e-01,0.000000000000000000e+00
2.204470001189540729e-01,0.000000000000000000e+00
2.330439715543228818e-01,0.000000000000000000e+00
2.456409429896916630e-01,0.000000000000000000e+00
2.582379144250604441e-01,0.000000000000000000e+00
2.708348858604292531e-01,0.000000000000000000e+00
2.834318572957980620e-01,0.000000000000000000e+00
2.960288287311668709e-01,0.000000000000000000e+00
3.086258001665356798e-01,0.000000000000000000e+00
3.212227716019044887e-01,0.000000000000000000e+00
3.338197430372732977e-01,0.000000000000000000e+00
3.464167144726420511e-01,0.000000000000000000e+00
3.590136859080108600e-01,0.000000000000000000e+00
3.716106573433796689e-01,0.000000000000000000e+00
3.842076287787484778e-01,0.000000000000000000e+00
3.968046002141172868e-01,0.000000000000000000e+00
4.094015716494860957e-01,0.000000000000000000e+00
4.219985430848549046e-01,0.000000000000000000e+00
4.345955145202237135e-01,0.000000000000000000e+00
4.471924859555925225e-01,0.000000000000000000e+00
4.597894573909613314e-01,0.000000000000000000e+00
4.723864288263301403e-01,0.000000000000000000e+00
4.849834002616988937e-01,0.000000000000000000e+00
4.975803716970677026e-01,0.000000000000000000e+00
5.101773431324365671e-01,0.000000000000000000e+00
5.227743145678054315e-01,0.000000000000000000e+00
5.353712860031741849e-01,0.000000000000000000e+00
5.479682574385429383e-01,0.000000000000000000e+00
5.605652288739118028e-01,0.000000000000000000e+00
5.731622003092805562e-01,0.000000000000000000e+00
5.857591717446494206e-01,0.000000000000000000e+00
5.983561431800181740e-01,0.000000000000000000e+00
6.109531146153870385e-01,0.000000000000000000e+00
6.235500860507557919e-01,0.000000000000000000e+00
6.361470574861246563e-01,0.000000000000000000e+00
6.487440289214934097e-01,0.000000000000000000e+00
6.613410003568622741e-01,0.000000000000000000e+00
6.739379717922310276e-01,0.000000000000000000e+00
6.865349432275997810e-01,0.000000000000000000e+00
6.991319146629686454e-01,0.000000000000000000e+00
7.117288860983373988e-01,0.000000000000000000e+00
7.243258575337062632e-01,0.000000000000000000e+00
7.369228289690750167e-01,0.000000000000000000e+00
7.495198004044438811e-01,0.000000000000000000e+00
7.621167718398126345e-01,0.000000000000000000e+00
7.747137432751814989e-01,0.000000000000000000e+00
7.873107147105502523e-01,0.000000000000000000e+00
7.999076861459191168e-01,0.000000000000000000e+00
8.125046575812878702e-01,0.000000000000000000e+00
8.251016290166566236e-01,0.000000000000000000e+00
8.376986004520254880e-01,0.000000000000000000e+00
8.502955718873942415e-01,0.000000000000000000e+00
8.628925433227631059e-01,0.000000000000000000e+00
8.754895147581318593e-01,0.000000000000000000e+00
8.880864861935007237e-01,0.000000000000000000e+00
9.006834576288694771e-01,0.000000000000000000e+00
9.132804290642383416e-01,5.519544010900661159e-04
9.258774004996070950e-01,4.296301080169926019e-03
9.384743719349759594e-01,2.299956962553166909e-02
9.510713433703447128e-01,6.056654611683067596e-02
9.636683148057134662e-01,1.690485397402255174e-01
9.762652862410823307e-01,3.584103757969709370e-01
9.888622576764510841e-01,6.610099857688160885e-01
1.001459229111819837e+00,1.049813806785246717e+00
1.014056200547188702e+00,1.478758749264798000e+00
1.026653171982557566e+00,1.936694511356417792e+00
1.039250143417926431e+00,2.319271602979799063e+00
1.051847114853295073e+00,2.682243852215310920e+00
1.064444086288663938e+00,2.866177404363353887e+00
1.077041057724032802e+00,3.036853769159600702e+00
1.089638029159401444e+00,3.025206279416302380e+00
1.102235000594770309e+00,3.123944065057542741e+00
1.114831972030139173e+00,2.960029692546145785e+00
1.127428943465508038e+00,2.852964422011854850e+00
1.140025914900876680e+00,2.725086261789170017e+00
1.152622886336245545e+00,2.567779907048945098e+00
1.165219857771614409e+00,2.363367080408316223e+00
1.177816829206983273e+00,2.207552181364636379e+00
1.190413800642351916e+00,2.085707762460039305e+00
1.203010772077720780e+00,1.938871815908065344e+00
1.215607743513089645e+00,1.774276557065712190e+00
1.228204714948458287e+00,1.631861305791586503e+00
1.240801686383827152e+00,1.504702145888327181e+00
1.253398657819196016e+00,1.440322695974179723e+00
1.265995629254564880e+00,1.277659624867515609e+00
1.278592600689933523e+00,1.190935350984813956e+00
1.291189572125302387e+00,1.105954968365458591e+00
1.303786543560671252e+00,1.057603937916796744e+00
1.316383514996040116e+00,9.840591005684641290e-01
1.328980486431408758e+00,9.172700110157628872e-01
1.341577457866777623e+00,8.873357771854076814e-01
1.354174429302146487e+00,8.066344468800915601e-01
1.366771400737515130e+00,7.869052937641954903e-01
1.379368372172883994e+00,7.721143899799391974e-01
1.391965343608252859e+00,7.391942673119867857e-01
1.404562315043621723e+00,6.699874160848328097e-01
1.417159286478990365e+00,6.519402379847943907e-01
1.429756257914359230e+00,6.569434633853158401e-01
1.442353229349728094e+00,6.211761573533708392e-01
1.454950200785096959e+00,5.913282471001688467e-01
1.467547172220465601e+00,5.758762569301815182e-01
1.480144143655834466e+00,5.698983894961379137e-01
1.492741115091203330e+00,5.698244538247834168e-01
1.505338086526571972e+00,5.656098774304355592e-01
1.517935057961940837e+00,5.438731682938474643e-01
1.530532029397309701e+00,5.597203236129754123e-01
1.543129000832678566e+00,5.287724756304799101e-01
1.555725972268047208e+00,5.535320857310722653e-01
1.568322943703416072e+00,5.396220701732331593e-01
1.580919915138784937e+00,5.561084096089542461e-01
1.593516886574153801e+00,5.489826980021627056e-01
1.606113858009522444e+00,5.687816368218595597e-01
1.618710829444891308e+00,5.849132332837573278e-01
1.631307800880260173e+00,5.781637382190338847e-01
1.643904772315628815e+00,5.843285021081408015e-01
1.656501743750997679e+00,6.075206232204630741e-01
1.669098715186366544e+00,6.304444463965698242e-01
1.681695686621735408e+00,6.348719566850221652e-01
1.694292658057104051e+00,6.609097279615777643e-01
1.706889629492472915e+00,6.764734641406051630e-01
1.719486600927841780e+00,7.070829347824389988e-01
1.732083572363210644e+00,7.350456332847997709e-01
1.744680543798579286e+00,7.454928520763935973e-01
1.757277515233948151e+00,7.870231118209121135e-01
1.769874486669317015e+00,8.173056708826091921e-01
1.782471458104685658e+00,8.417299654574850187e-01
1.795068429540054522e+00,8.595327239112333650e-01
1.807665400975423386e+00,8.976109552985421791e-01
1.820262372410792251e+00,9.169101915080937193e-01
1.832859343846160893e+00,9.628675449645809348e-01
1.845456315281529758e+00,1.002081774771317546e+00
1.858053286716898622e+00,9.986751087416776418e-01
1.870650258152267487e+00,1.048420193915073018e+00
1.883247229587636129e+00,1.064167541998928712e+00
1.895844201023004993e+00,1.121034066567198728e+00
1.908441172458373858e+00,1.135988665796402453e+00
1.921038143893742500e+00,1.137856019151036735e+00
1.933635115329111365e+00,1.177872222378235634e+00
1.946232086764480229e+00,1.193788923973294835e+00
1.958829058199849094e+00,1.218078912455201390e+00
1.971426029635217736e+00,1.218198346284094402e+00
1.984023001070586600e+00,1.240204328923653732e+00
1.996619972505955465e+00,1.266063648646013950e+00
2.009216943941324107e+00,1.275669337188049424e+00
2.021813915376692972e+00,1.300480326014977095e+00
2.034410886812061836e+00,1.284536453074426099e+00
2.047007858247430701e+00,1.314701009418745681e+00
2.059604829682799565e+00,1.290745590629774897e+00
2.072201801118168429e+00,1.282605387446476453e+00
2.084798772553536850e+00,1.321490810992285159e+00
2.097395743988905714e+00,1.305036839327400777e+00
2.109992715424274579e+00,1.293533792790971804e+00
2.122589686859643443e+00,1.283028551676036022e+00
2.135186658295012307e+00,1.266520520481244860e+00
2.147783629730381172e+00,1.280350550614882232e+00
2.160380601165750036e+00,1.277102537550786510e+00
2.172977572601118457e+00,1.232990871990063964e+00
2.185574544036487321e+00,1.229806015171256872e+00
2.198171515471856186e+00,1.222992394744778277e+00
2.210768486907225050e+00,1.198450799892778029e+00
2.223365458342593914e+00,1.166562267969069921e+00
2.235962429777962779e+00,1.136695520779344992e+00
2.248559401213331643e+00,1.131643848226320248e+00
2.261156372648700508e+00,1.089805770801064444e+00
2.273753344084068928e+00,1.064584542890758545e+00
2.286350315519437792e+00,1.049363099645377773e+00
2.298947286954806657e+00,1.019776249831263693e+00
2.311544258390175521e+00,9.907702581261105257e-01
2.324141229825544386e+00,9.945484267365157782e-01
2.336738201260913250e+00,9.778682013276416285e-01
2.349335172696282115e+00,9.413853429289613661e-01
2.361932144131650535e+00,9.123075572061464245e-01
2.374529115567019399e+00,9.137581576243435366e-01
2.387126087002388264e+00,9.014736143998158813e-01
2.399723058437757128e+00,8.746859686287958846e-01
2.412320029873125993e+00,8.665240946216908879e-01
2.424917001308494857e+00,8.578578236180754990e-01
2.437513972743863722e+00,8.517260169600852082e-01
2.450110944179232142e+00,8.375453622892574668e-01
2.462707915614601006e+00,8.185236531720487818e-01
2.475304887049969871e+00,8.322292954664053388e-01
2.487901858485338735e+00,8.134099355303937573e-01
2.500498829920707600e+00,8.049405041159003460e-01
2.513095801356076464e+00,8.049825422196237312e-01
