k,S(k)
1.591302929651942311e+00,3.370072232565211184e-02
2.781729975171448377e+00,4.329306089451483847e-02
3.908181989754308638e+00,7.693068592667895444e-02
5.063394692555024612e+00,2.568747929315650658e-01
6.356499970709581504e+00,1.975713088009823704e+00
7.633820873574364008e+00,1.315632907830101450e+00
8.818205564688026854e+00,6.135966302163735620e-01
1.000697958403661048e+01,6.745991405677729258e-01
1.129423380177133751e+01,1.041582881443555930e+00
1.258604560246600101e+01,1.275844831624810105e+00
1.379297371887150625e+01,1.048983282345335777e+00
1.499989185359867783e+01,8.423360273490861916e-01
1.626634659714889608e+01,8.969918330921176075e-01
1.752450182748355090e+01,1.069496285265998159e+00
1.843029698465159072e+01,1.119167867934097060e+00
