step,time,T,P,PE,KE,E_total,E_per_atom,density,virial,min_r,max_f,p_COM
10,0.05,0.5947758398989872,-5.352946501291887,-712.3656898960609,95.46152230378745,-616.9041675922734,-5.712075625854384,0.8442,-1954.6394073064441,1.008382566078045,15.207920071069129,6.188684290385342e-15
20,0.1,0.2940151473929801,-3.186982135404693,-664.0182906427111,47.18943115657331,-616.8288594861378,-5.711378328575351,0.8442,-1025.90597948099,0.9550409384173296,40.43419727176316,1.1186977631614274e-14
30,0.15,0.29010908334604973,-2.9796683636525927,-663.4408667673582,46.562507877040986,-616.8783588903173,-5.711836656391826,0.8442,-945.0743616053112,0.9763800645451748,26.17284944128033,1.29945012767754e-14
40,0.2,0.32077416430725864,-3.1964683705775445,-668.3563242898548,51.48425337131501,-616.8720709185397,-5.711778434430924,0.8442,-1038.2166735222254,0.9740877340429432,31.133660737621764,1.2912312087068358e-14
50,0.25,0.34385870083631176,-3.430454555980559,-672.0554858200492,55.18932148422804,-616.8661643358212,-5.711723743850196,0.8442,-1135.4988637255333,0.9993827036136369,18.847536634219352,1.1769967752707476e-14
60,0.3,0.38347093727779463,-3.753262129311552,-678.4178339560231,61.54708543308604,-616.870748522937,-5.711766190027195,0.8442,-1272.2252607410574,0.9977308980277744,19.55876574991039,1.1619687007758545e-14
70,0.35000000000000003,0.39535533340470286,-3.8239519085234246,-680.3201019253088,63.45453101145481,-616.865570913854,-5.7117182492023515,0.8442,-1303.2062107538452,0.9746737893581094,29.362242440526845,9.513160277149438e-15
80,0.4,0.365257258606149,-3.551897034571494,-675.4903810749221,58.62379000628691,-616.8665910686352,-5.711727695079956,0.8442,-1189.0410500599505,1.010865360316164,14.441195220858168,1.0294138515293655e-14
90,0.45,0.34638958830768024,-3.3340625280024683,-672.4554309736591,55.59552892338268,-616.8599020502764,-5.711665759724782,0.8442,-1099.324063087032,0.9947969327266218,19.849662893566798,1.0757138747576288e-14
100,0.5,0.722,-3.202750585231791,-677.5902794675962,115.881,-561.7092794675963,-5.201011846922188,0.8442,-1170.6249288021627,1.004047569186168,19.165550390126864,1.5061843844936824e-14
110,0.55,0.6372224710634691,-2.6032744959513963,-663.963464922413,102.27420660568679,-561.6892583167262,-5.200826465895613,0.8442,-913.0808984022681,0.9796979632745593,24.753114479806605,1.6885703862105673e-14
120,0.6,0.5335367210908384,-1.891467159532962,-647.3111664248369,85.63264373507957,-561.6785226897573,-5.200727061942197,0.8442,-606.2983986620566,0.9602228881789889,37.09620460068341,1.5024665051093856e-14
130,0.65,0.5758250566768324,-2.2375035492399404,-654.1200708272339,92.4199215966316,-561.7001492306023,-5.200927307690762,0.8442,-752.8069625630404,0.962839930554473,38.70286481890167,1.0949776852971056e-14
140,0.7000000000000001,0.5844922774213961,-2.380393418093787,-655.5036813262215,93.81101052613407,-561.6926708000874,-5.200858062963772,0.8442,-810.4556034780794,0.97122067733914,29.174987683522613,1.0589252267940896e-14
150,0.75,0.5648584841597966,-2.262535271994333,-652.3574560701321,90.65978670764734,-561.6976693624848,-5.200904345948934,0.8442,-758.8608508410616,0.9459329860814991,47.05250539601035,1.5139998670710058e-14
160,0.8,0.5452224294412226,-2.161751606363016,-649.1810398318848,87.50819992531622,-561.6728399065686,-5.200674443579339,0.8442,-713.8184710021433,0.9665957170371885,33.74318470942811,1.897158057450664e-14
170,0.85,0.5627377119696038,-2.2754334743109843,-652.0166227314882,90.3194027711214,-561.6972199603667,-5.20090018481821,0.8442,-763.1239901972756,0.9622105119182315,39.727882179305055,1.9875550450968063e-14
180,0.9,0.5498828695611487,-2.248181101029225,-649.9509793451056,88.25620056456437,-561.6947787805412,-5.200877581301308,0.8442,-748.4996882276896,0.955605191497624,37.81712222155588,1.8774918511603494e-14
190,0.9500000000000001,0.5980378296736247,-2.598996063750941,-657.683005573661,95.98507166261678,-561.6979339110443,-5.2009067954726325,0.8442,-898.7430323828287,0.9712667678629688,35.45992344327804,2.2551742522171432e-14
200,1.0,0.7220000000000003,-2.620137936772472,-660.607645773301,115.88100000000004,-544.7266457733009,-5.043765238641675,0.8442,-947.0209272612728,0.9543852527044372,41.37659023051291,1.529503475356794e-14
210,1.05,0.7120004945506677,-2.531533396671452,-658.9956918330478,114.27607937538217,-544.7196124576656,-5.043700115348755,0.8442,-909.7750806338904,0.9546385018399263,40.87167458265745,1.852210063976631e-14
220,1.1,0.6952166590553231,-2.4313154018218355,-656.305525233431,111.58227377837937,-544.7232514550517,-5.043733809768997,0.8442,-865.8739216158485,0.9764598520823395,27.040562825833756,2.4047543478151317e-14
