t,VACF
0.000000000000000000e+00,9.997443687499049103e-01
2.500000000000000000e-01,-1.294308641549474226e-01
5.000000000000000000e-01,-3.877117883978941498e-02
7.500000000000000000e-01,-1.144410267193734718e-02
1.000000000000000000e+00,-7.345719754036889905e-03
1.250000000000000000e+00,-9.695511910551084592e-03
1.500000000000000000e+00,-4.498492527679936515e-04
1.750000000000000000e+00,4.163148559822545179e-04
2.000000000000000000e+00,-5.780586697540312721e-03
2.250000000000000000e+00,1.024182181962490432e-02
2.500000000000000000e+00,-1.974010850064677070e-03
